feature,feature_value,shap_value,absolute_shap
id_10,0.0,0.00014138488817416091,0.00014138488817416091
V111,1.0,-0.00013911087499546748,0.00013911087499546748
V338,0.0,0.00013606805894179533,0.00013606805894179533
V277,18.06559944152832,0.00013309724419108295,0.00013309724419108295
V321,0.0,0.00013285048108330533,0.00013285048108330533
V320,0.0,-0.0001315587694743461,0.0001315587694743461
id_16,0.0,0.00012635803323204166,0.00012635803323204166
V30,0.0,-0.00012366775320780146,0.00012366775320780146
V120,1.0,0.00011617886890402703,0.00011617886890402703
V237,0.0,0.00011161669490358594,0.00011161669490358594
V147,0.0,-0.000110133694596067,0.000110133694596067
V167,9.0,9.848513243497437e-05,9.848513243497437e-05
V162,0.0,-9.069943842107213e-05,9.069943842107213e-05
V254,1.0,8.464253129366409e-05,8.464253129366409e-05
V62,1.0,-8.284066243771922e-05,8.284066243771922e-05
V198,1.0,-8.247766872400995e-05,8.247766872400995e-05
V334,0.0,-7.96163839005375e-05,7.96163839005375e-05
V253,1.0,7.647429313612097e-05,7.647429313612097e-05
V154,1.0,-7.163121286444126e-05,7.163121286444126e-05
V4,1.0,6.931700261398077e-05,6.931700261398077e-05
V114,1.0,6.825470106101255e-05,6.825470106101255e-05
V146,0.0,-6.730749353841291e-05,6.730749353841291e-05
V106,0.0,6.56869540069287e-05,6.56869540069287e-05
V288,0.0,-6.227042973775143e-05,6.227042973775143e-05
V331,0.0,6.098167353161863e-05,6.098167353161863e-05
V118,1.0,5.961060117143167e-05,5.961060117143167e-05
V161,0.0,5.875827214157643e-05,5.875827214157643e-05
V296,0.0,-5.7669219353668773e-05,5.7669219353668773e-05
V116,1.0,-5.693256632071433e-05,5.693256632071433e-05
V177,9.0,5.5144860171803576e-05,5.5144860171803576e-05
V58,1.0,-5.012860231540593e-05,5.012860231540593e-05
V74,1.0,-4.884151320703351e-05,4.884151320703351e-05
V337,0.0,4.8444709516853906e-05,4.8444709516853906e-05
V7,1.0,-4.5062580345026873e-05,4.5062580345026873e-05
V259,1.0,4.420773237548311e-05,4.420773237548311e-05
V181,0.0,4.229639834663521e-05,4.229639834663521e-05
V183,0.0,3.106388195334203e-05,3.106388195334203e-05
V121,1.0,2.8335943598242266e-05,2.8335943598242266e-05
V236,1.0,2.766149242224633e-05,2.766149242224633e-05
V103,2.0,2.444646372279429e-05,2.444646372279429e-05
V43,1.0,-2.4152256020146078e-05,2.4152256020146078e-05
V213,445.3559875488281,2.2998770511948826e-05,2.2998770511948826e-05
V262,1.0,-2.051198782272752e-05,2.051198782272752e-05
